[nodes];;;glass;paper;plastic;common
47;true;Rua de Santa Catarina43;0;90;70;0
48;true;Rua de Santa Catarina44;70;10;50;10
49;true;Rua de Santa Catarina45;20;40;20;80
50;station;Rua de Santa Catarina46;0;0;0;0
51;true;Rua de Santa Catarina47;0;0;0;0
52;station;Rua de Santa Catarina48;0;0;0;0
53;true;Rua de Santa Catarina49;40;80;40;80
54;true;Rua de Santa Catarina50;70;80;70;60
55;true;Rua de Santa Catarina51;0;90;70;0
56;true;Rua de Santa Catarina52;70;10;50;10
57;true;Rua de Santa Catarina53;20;40;20;80
58;station;Rua de Santa Catarina54;0;0;0;0
59;true;Rua de Santa Catarina55;70;80;90;40
60;true;Rua de Santa Catarina56;50;90;10;70
;;;;;;
[edges];;;;;;
1;2;10;;;;
1;18;12;;;;
2;3;14;;;;
2;12;9;;;;
3;4;11;;;;
3;10;13;;;;
4;5;15;;;;
5;6;14;;;;
6;7;10;;;;
6;10;12;;;;
10;9;14;;;;
9;8;9;;;;
9;11;11;;;;
8;7;13;;;;
8;14;15;;;;
7;15;18;;;;
11;12;10;;;;
11;13;12;;;;
15;16;14;;;;
13;14;9;;;;
12;13;11;;;;
12;18;13;;;;
18;17;15;;;;
16;17;9;;;;
14;15;6;;;;
19;6;11;;;;
19;22;10;;;;
20;23;5;;;;
20;15;10;;;;
20;24;6;;;;
20;21;5;;;;
20;22;5;;;;
21;22;5;;;;
21;28;7;;;;
21;27;7;;;;
23;7;5;;;;
23;6;5;;;;
24;7;13;;;;
24;16;10;;;;
24;25;5;;;;
24;28;3;;;;
25;15;10;;;;
25;26;7;;;;
26;28;5;;;;
26;27;4;;;;
26;30;4;;;;
27;30;4;;;;
28;29;7;;;;
29;30;5;;;;
30;22;7;;;;
31;21;8;;;;
31;29;6;;;;
32;25;10;;;;
32;28;12;;;;
32;26;4;;;;
32;30;2;;;;
33;6;20;;;;
33;24;10;;;;
33;29;5;;;;
34;33;2;;;;
34;30;3;;;;
34;16;10;;;;
35;27;19;;;;
35;39;19;;;;
35;42;13;;;;
36;41;14;;;;
36;43;17;;;;
36;6;11;;;;
37;14;14;;;;
37;2;12;;;;
37;9;13;;;;
38;37;20;;;;
38;21;11;;;;
38;39;19;;;;
39;28;11;;;;
39;7;6;;;;
39;27;18;;;;
40;43;16;;;;
40;35;12;;;;
40;30;12;;;;
41;1;16;;;;
41;6;14;;;;
42;21;8;;;;
42;31;10;;;;
42;25;14;;;;
43;28;18;;;;
43;39;19;;;;
43;50;5;;;;
44;6;18;;;;
44;18;18;;;;
44;1;15;;;;
45;18;15;;;;
45;39;10;;;;
46;9;18;;;;
46;39;16;;;;
47;49;3;;;;
47;49;11;;;;
48;10;8;;;;
48;36;3;;;;
49;18;11;;;;
49;30;19;;;;
49;27;16;;;;
50;38;15;;;;
50;5;12;;;;
50;3;14;;;;
51;2;3;;;;
51;35;8;;;;
51;37;9;;;;
52;28;2;;;;
52;44;9;;;;
52;39;7;;;;
53;45;8;;;;
53;29;10;;;;
54;33;9;;;;
54;54;8;;;;
54;30;4;;;;
55;27;11;;;;
55;44;5;;;;
55;55;4;;;;
56;60;4;;;;
56;39;7;;;;
57;54;10;;;;
57;35;4;;;;
57;40;4;;;;
58;25;5;;;;
58;22;3;;;;
58;38;10;;;;
59;40;7;;;;
59;13;5;;;;
60;42;4;;;;
60;57;9;;;;
60;30;10;;;;
